f242900,琉球HEAT 宜野湾店,りゅうきゅうひーと ぎのわんてん
6275393,ゆくいどぅくる颯,ゆくいどぅくるそう
7271714,うさぎや,うさぎや
6022156,喫茶仲順日和,きっさちゅんじゅんびより
7205579,新宿さぼてん イオンモール沖縄ライカム店,しんじゅくさぼてんいおんもーるおきなわらいかむてん
5202168,旬 やざかり,しゅんやざかり
7276494,安里家,あさとや
5656714,焼肉カルビ家,やきにくかるびや
7124142,えいと食堂,えいとしょくどう
5656701,ワイン酒場 加藤食堂,わいんさかばかとうしょくどう
7193307,麺屋武虎 宜野湾店,めんやたけとらぎのわんてん
7013852,bistro de mattaka,びすとろどまったか
5202148,源平,げんぺい
7260659,マラサダ ガレージ イオンモール沖縄ライカム店,まらさだがれーじいおんもーるおきなわらいかむてん
6396379,さびら 宜野湾店,さびらぎのわんてん
7282949,猫まるカフェ okinawa,ねこまるかふぇおきなわ
6979954,あつまいどころまる,あつまいどころまる
7143803,food&drink simasi303,ふーどあんどどりんくしましさんまるさん
5707686,モスバーガー宜野湾野嵩店,もすばーがーぎのわんのだけてん
5919167,チャコールビストロてんにょ,ちゃこーるびすとろてんにょ
7194147,ジャイタイ イオンモール沖縄ライカム店,じゃいたいいおんもーるおきなわらいかむてん
6296575,ラグナガーデンホテル 和琉ダイニングあんのん an‐non,らぐながーでんほてるわりゅうだいにんぐあんのん
7201190,肴や鯛の鯛,さかなやたいのたい
7150962,タコスの店なっちゃん,たこすのみせなっちゃん
7205128,きじむなぁ イオンモール沖縄ライカム店,きじむなぁいおんもーるおきなわらいかむてん
7194271,野菜ソムリエ食堂イオンモール沖縄ライカム店,やさいそむりえしょくどういおんもーるおきなわらいかむてん
7270578,麦とろ海物語 イオンモール沖縄ライカム店,むぎとろうみものがたりいおんもーるおきなわらいかむてん
7381189,Bar Barrique,ばーばりっく
5453953,PIZZA HOUSE Jr． 普天間店,ぴざはうすじゅにあふてんまてん
6773715,味千拉麺 中城ハイウェイショップ上り店,あじせんらーめんなかぐすくはいうぇいしょっぷのぼりてん
5202155,シロマタルー,しろまたるー
7220200,MOTHER COFFEE,まざーこーひー
6269656,沖縄そば専門店 宜野湾そば,おきなわそばせんもんてんぎのわんそば
6455574,イラブーそばくろしお,いらぶーそばくろしお
5820128,うちなーイタリアンSOLA,うちなーいたりあんそら
7337819,いちまるまるイオンモール沖縄ライカム店,いちまるまるいおんもーるおきなわらいかむてん
5799411,最強食堂 宜野湾店,さいきょうしょくどうぎのわんてん
5920126,花風,はなふう
7205294,まいどおおきに食堂 沖縄ライカム食堂,まいどおおきにしょくどうらいかむしょくどう
6948315,カフェ ジャスミン,かふぇじゃすみん
6000602,ラグナガーデンホテル Restaurant Paseo Garden,らぐながーでんほてるれすとらんぱせおがーでん
6209275,パリのパン屋さん ボンジュール 宜野湾店,ぱりのぱんやさんぼんじゅーるぎのわんてん
5202153,酒食の品,しゅしょくのぴん
5920619,ALL DAY DINING CASA VERDE,おーるでいだいにんぐかーさゔぇるで
6000552,ラグナガーデンホテル Bar Lounge Paddle,らぐながーでんほてるばーらうんじぱどる
7137241,生け簀の銀次／グリル銀次 宜野湾店,いけすのぎんじぐりるぎんじぎのわんてん
6921064,東京やきとり酒場,とうきょうやきとりさかば
6931989,猫丸庵,ねこまるあん
5758449,花若丸,はなわかまる
6970345,かふぇ わ,かふえわ
6012029,NEXT CAFE ネクストカフェ,ねくすとかふぇ
6841378,ギノワンコーヒーシャープ,ぎのわんこーひーしゃーぷ
7071581,焼肉ホルモン のぼり苑,やきにくほるもんのぼりえん
